CLIMATE_ID,STATION_NAME,PROVINCE,LATITUDE_DECIMAL_DEGREES,LONGITUDE_DECIMAL_DEGREES,ELEVATION,STATION_NORMAL_CODE
3010890,BROWNFIELD,ALTA,52.3191733333333,-111.469465,755300,A
3011120,CALMAR,ALTA,53.2897241666667,-113.863057777778,720000,A
3011953,DAKOTA WEST,ALTA,52.75,-113.95,865200,A
3012205,EDMONTON INT'L A,ALTA,53.3166666666667,-113.583333333333,723300,A
301222F,EDMONTON STONY PLAIN,ALTA,53.5475016666667,-114.108358333333,766300,A
3012230,EDMONTON WOODBEND,ALTA,53.4166666666667,-113.75,670600,A
3012515,FABYAN,ALTA,52.9666666666667,-111,698000,A
3015672,ST LINA,ALTA,54.3,-111.45,632500,A
3016494,TOFIELD NORTH,ALTA,53.55,-112.75,701000,A
3022136,DRUMHELLER ANDREW,ALTA,51.4666666666667,-112.866666666667,719300,A
3024150,MADDEN,ALTA,51.5041861111111,-114.323905555556,1138000,A
3024210,MARKERVILLE,ALTA,52.1166666666667,-114.133333333333,914400,A
3025480,RED DEER A,ALTA,52.1786111111111,-113.893055555556,904600,A
3031093,CALGARY INT'L A,ALTA,51.1138888888889,-114.020277777778,1084100,A
3031658,CLARESHOLM WATERWORKS,ALTA,50.0189055555556,-113.710558333333,1008000,A
3034480,MEDICINE HAT A,ALTA,50.0188888888889,-110.720833333333,716900,A
3034596,MONARCH,ALTA,49.81445,-113.160855555556,947000,A
3036240,SUFFIELD A,ALTA,50.2666666666667,-111.183333333333,769600,A
3050600,BEAVER MINES,ALTA,49.4672277777778,-114.176955555556,1257000,A
30506GN,BIGHORN DAM,ALTA,52.3166666666667,-116.333333333333,1341000,A
3053600,KANANASKIS,ALTA,51.0275222222222,-115.034738888889,1391100,A
3060321,ATHABASCA 2,ALTA,54.8216686111111,-113.539724166667,626300,A
3061200,CAMPSIE,ALTA,54.1322227777778,-114.677778888889,670600,A
30619E0,CROSS LAKE,ALTA,54.6327802777778,-113.9136125,655300,A
3062693,FORT MCMURRAY A,ALTA,56.65,-111.216666666667,369100,A
3065885,SHINING BANK,ALTA,53.85,-115.966666666667,829100,A
3067372,WHITECOURT A,ALTA,54.1438888888889,-115.786666666667,782400,A
3072475,EUREKA RIVER,ALTA,56.4833333333333,-118.733333333333,664500,A
3072920,GRANDE PRAIRIE A,ALTA,55.1797222222222,-118.885,669000,A
3073146,HIGH LEVEL A,ALTA,58.6213888888889,-117.164722222222,338023,A
3075040,PEACE RIVER A,ALTA,56.2269444444444,-117.447222222222,570900,A
3081680,COLD LAKE A,ALTA,54.4166666666667,-110.283333333333,541000,A
3010234,ANDREW,ALTA,54.0166666666667,-112.233333333333,610000,C
3010830,BRIGHTVIEW,ALTA,52.9833333333333,-113.716666666667,815300,C
3011240,CAMROSE,ALTA,53.0347222222222,-112.814166666667,739000,C
3011474,CHAILEY,ALTA,53.55,-111.25,670000,C
3012208,EDMONTON CITY CENTRE A,ALTA,53.5733333333333,-113.518333333333,670600,C
3012652,FORESTBURG PLANT SITE,ALTA,52.4674813888889,-112.120259166667,662900,C
3012710,FORT SASKATCHEWAN,ALTA,53.7166666666667,-113.183333333333,620000,C
3012990,GWYNNE,ALTA,52.95,-113.183333333333,768100,C
3013770,LAVOY,ALTA,53.5333333333333,-111.866666666667,670000,C
3013961,LLOYDMINSTER A,ALTA,53.3091666666667,-110.0725,668426,C
3013C44,HOLDEN SOUTH,ALTA,53.0833333333333,-112.266666666667,708700,C
3014600,MONITOR,ALTA,52.0166666666667,-110.55,731500,C
3014995,PARADISE VALLEY,ALTA,53.1166666666667,-110.35,658000,C
3015405,RANFURLY 2NW,ALTA,53.4166666666667,-111.733333333333,673000,C
3016253,SULLIVAN LAKE,ALTA,52.05,-111.95,810700,C
3016GF0,VEGREVILLE,ALTA,53.5052786111111,-112.097778888889,639300,C
3017286,WETASKIWIN SOUTH,ALTA,52.6333333333333,-113.383333333333,762000,C
3017595,WINFIELD,ALTA,52.95,-114.583333333333,910000,C
3021940,CRAIGMYLE,ALTA,51.7666666666667,-112.283333333333,845800,C
3022159,ECKVILLE SOUTH,ALTA,52.2847227777778,-114.390834166667,960100,C
3022325,ELNORA,ALTA,51.9639055555556,-113.194736111111,929600,C
3022400,EMPRESS,ALTA,50.9558338888889,-110.006133333333,612000,C
3023422,HUXLEY,ALTA,51.9105777777778,-113.433077777778,914400,C
3023430,IDDESLEIGH,ALTA,50.7397361111111,-111.320852777778,773000,C
3024920,OLDS,ALTA,51.7833333333333,-114.1,1040300,C
3025441,RED DEER,ALTA,52.3108352777778,-113.792222777778,846700,C
3026259,SUNDRE GARRINGTON,ALTA,51.9666666666667,-114.45,990600,C
3030862,BROOKS NORTH,ALTA,50.6166666666667,-111.883333333333,759000,C
3031320,CARDSTON,ALTA,49.1316694444444,-113.241952777778,1193000,C
3031348,CARMANGAY VILLAGE,ALTA,50.1244444444444,-113.111666666667,939400,C
3031400,CARWAY,ALTA,48.999725,-113.376111111111,1354000,C
3031805,CONNELLY CREEK,ALTA,49.6161194444444,-114.215022222222,1249000,C
3031926,COWLEY OLIN CREEK,ALTA,49.7,-114.066666666667,1234400,C
3031F5F,CLARESHOLM MEADOW CREEK,ALTA,49.9375222222222,-113.737519444444,1035000,C
3032640,FOREMOST,ALTA,49.4769555555556,-111.446405555556,892000,C
3032800,GLEICHEN,ALTA,50.8833333333333,-113.05,905300,C
3033240,HIGH RIVER,ALTA,50.4833333333333,-114.166666666667,1219200,C
3033880,LETHBRIDGE A,ALTA,49.6302777777778,-112.799722222222,928700,C
3034675,MOSSLEIGH,ALTA,50.6594472222222,-113.281391666667,1066800,C
3034676,MOSSLEIGH BURNAY,ALTA,50.7172416666667,-113.301947222222,944900,C
3034720,MOUNTAIN VIEW,ALTA,49.1269555555556,-113.630016666667,1339000,C
3035340,QUEENSTOWN,ALTA,50.6064083333333,-112.983336111111,940000,C
303F0PP,SPRINGBANK A,ALTA,51.1030555555556,-114.374444444444,1200900,C
3044230,MASINASIN,ALTA,49.1266833333333,-111.654172222222,953000,C
3053604,KANANASKIS POCATERRA,ALTA,50.7125055555556,-115.120016666667,1610000,C
3054845,NORDEGG RS,ALTA,52.5,-116.05,1320100,C
3061117,CALLING LAKE RS,ALTA,55.25,-113.183333333333,598000,C
3063523,JASPER EAST GATE,ALTA,53.2333333333333,-117.816666666667,1002800,C
3063620,KAYBOB 3,ALTA,54.1138888888889,-116.631111666667,1002800,C
3064657,MOOSE WALLOW,ALTA,54.2333333333333,-115.016666666667,633100,C
3064964,PADDLE RIVER,ALTA,54.0333333333333,-114.75,655300,C
3065541,RONAN,ALTA,53.8833333333333,-115.25,731500,C
3072322,ELMWORTH CDA EPF,ALTA,55.1,-119.75,754400,C
3072658,FORT CHIPEWYAN A,ALTA,58.7666666666667,-111.116666666667,232000,C
3072970,GROVEDALE RS,ALTA,55.0166666666667,-118.8,701000,C
3073641,KEG RIVER RS,ALTA,57.75,-117.616666666667,405400,C
3075937,SIMONETTE,ALTA,54.4247244444444,-117.741111944444,883900,C
3076675,VALLEYVIEW RS,ALTA,55.0666666666667,-117.266666666667,762000,C
3076908,WABASCA RS,ALTA,55.9666666666667,-113.833333333333,544700,C
307JF5R,CLEARDALE,ALTA,56.3333333333333,-119.483333333333,643100,C
3010991,CADOGAN,ALTA,52.25,-110.533333333333,665300,D
3012072,DEWBERRY,ALTA,53.65,-110.6,615700,D
3012275,ELK ISLAND NAT PARK,ALTA,53.6827777777778,-112.868055555556,716200,D
3013645,KINSELLA RANCH,ALTA,53,-111.516666666667,705000,D
3015808,SEDGEWICK TOWN,ALTA,52.7833333333333,-111.7,662900,D
3015960,SION,ALTA,53.8833333333333,-114.116666666667,701000,D
3016119,STETTLER NORTH,ALTA,52.3333333333333,-112.716666666667,821000,D
301C3D4,HORBURG,ALTA,52.4,-115.2,1036000,D
301FFNJ,UNIVERSITY OF ALBERTA METABOLIC CENTRE,ALTA,53.5166666666667,-113.533333333333,668400,D
301N49A,REDWATER,ALTA,54,-113.183333333333,617200,D
3020676,BIG STONE,ALTA,51.1666666666667,-111.2,773900,D
3020690,BINDLOSS EAST,ALTA,50.8908361111111,-110.198625,636000,D
3022772,GEM,ALTA,50.9497416666667,-112.188911111111,763700,D
3023560,JENNER,ALTA,50.7222277777778,-111.195852777778,755000,D
3024961,OYEN CAPPON,ALTA,51.1666666666667,-110.516666666667,792500,D
3025764,SCHULER,ALTA,50.3091805555556,-110.086111111111,803000,D
3025766,SCOLLARD,ALTA,51.9333333333333,-112.866666666667,853400,D
3026009,SLEEPY HOLLOW,ALTA,51.4919463888889,-112.959167222222,811000,D
3026540,TROCHU TOWN,ALTA,51.8333333333333,-113.216666666667,876300,D
3032624,FIVE MILE CREEK,ALTA,49.7691805555556,-113.838080555556,1295000,D
3036690,VAUXHALL NORTH,ALTA,50.1825222222222,-112.121955555556,760000,D
3036881,VULCAN,ALTA,50.4,-113.25,1048800,D
303M9JM,OKOTOKS,ALTA,50.7291694444444,-113.960858333333,1081000,D
3040223,ALTAWAN,ALTA,49.2452797222222,-110.013612222222,944900,D
3046953,WARNER WEST,ALTA,49.2855638888889,-112.409741666667,1109000,D
3051720,COLEMAN,ALTA,49.6333333333333,-114.583333333333,1341100,D
3052270,ELBOW RS,ALTA,50.9,-114.7,1399900,D
3053760,LAKE LOUISE,ALTA,51.4333333333333,-116.216666666667,1524000,D
3056272,SUNWAPTA,ALTA,52.45,-117.45,1554500,D
3060523,BAPTISTE LAKE,ALTA,54.7333333333333,-113.533333333333,575000,D
3060903,BRULE BLACK CAT,ALTA,53.35,-117.866666666667,1036300,D
3062440,ENTRANCE,ALTA,53.3666666666667,-117.7,990600,D
3062451,ENTWISTLE,ALTA,53.6,-114.983333333333,780300,D
3063248,HIGHWAY,ALTA,53.9166666666667,-115.533333333333,823000,D
3070493,BALLATER,ALTA,55.5780563888889,-117.209445,563800,D
3070560,BEAVERLODGE CDA,ALTA,55.2,-119.4,744900,D
3074182,MANNING,ALTA,56.9508333333333,-117.644166666667,491300,D
3010175,ALLIANCE SOUTH,ALTA,52.4166666666667,-111.783333333333,713200,E
3010616,BELLIS,ALTA,54.1333333333333,-112.15,660600,E
3010815,BRETON,ALTA,53.1666666666667,-114.483333333333,843000,E
3010978,BUSBY,ALTA,53.9968333333333,-113.888777777778,701000,E
3011138,CALMAR WEST,ALTA,53.2833333333333,-113.866666666667,725000,E
3011241,CAMROSE 2,ALTA,52.95,-112.8,737600,E
3011848,CONTRACOSTA LAKE,ALTA,51.7666666666667,-111.55,791900,E
3011880,CORONATION A,ALTA,52.0666666666667,-111.45,791000,E
3012209,EDMONTON MUNICIPAL CR10,ALTA,53.5730577777778,-113.516669444444,671000,E
3012210,EDMONTON NAMAO A,ALTA,53.6666666666667,-113.466666666667,687900,E
3012280,ELK POINT,ALTA,53.8833333333333,-111.066666666667,605000,E
3012992,HACKETT,ALTA,52.1666666666667,-112.616666666667,852000,E
3013PFD,LAMONT,ALTA,53.7666666666667,-112.85,710200,E
3014922,OLIVER TREE NURSERY,ALTA,53.65,-113.366666666667,647700,E
3015287,POPLAR GLEN,ALTA,52.8666666666667,-110.9,685800,E
3015522,ROCKY MTN HOUSE A,ALTA,52.4333333333333,-114.916666666667,988200,E
3016590,TULLIBY LAKE,ALTA,53.6666666666667,-110.133333333333,574400,E
3016650,UNCAS,ALTA,53.5,-113.033333333333,750000,E
3016761,VEGREVILLE CDA,ALTA,53.4833333333333,-112.033333333333,635800,E
3016817,VETERAN,ALTA,52,-111,784600,E
3016840,VIKING,ALTA,53.1,-111.783333333333,691000,E
301GK5H,WESTLOCK LITKE,ALTA,54.15,-113.85,652300,E
301NDR1,RED WILLOW,ALTA,52.4166666666667,-112.566666666667,783300,E
3020025,ACADIA VALLEY MACTAVISH,ALTA,51.1961138888889,-110.168891666667,743700,E
3020401,ATLEE,ALTA,50.8166666666667,-110.95,792500,E
3022078,DICKSON DAM,ALTA,52.05,-114.216666666667,980000,E
3022460,ESTHER,ALTA,51.6,-110.233333333333,746800,E
3023720,LACOMBE CDA,ALTA,52.4666666666667,-113.75,847300,E
3023722,LACOMBE CDA 2,ALTA,52.4488905555556,-113.755834722222,860000,E
3023971,LOBSTICK AUBUCHON,ALTA,52.5166666666667,-114.733333333333,1066800,E
3024572,MIRROR FLETCHER,ALTA,52.45,-113.05,795000,E
3025920,SIBBALD,ALTA,51.475025,-110.248058333333,725000,E
3025928,SIBBALD WESTGARD,ALTA,51.4247222222222,-110.145580555556,723900,E
3025K22,PINE LAKE NORTH,ALTA,52.2,-113.483333333333,899200,E
3026330,SYLVAN LAKE,ALTA,52.35,-114.166666666667,920500,E
3026KNQ,SUNDRE A,ALTA,51.7780555555556,-114.6825,1114400,E
302F4HF,THREE HILLS SOUTH,ALTA,51.6822444444444,-113.313066666667,846000,E
3030QLP,BROOKS,ALTA,50.5552972222222,-111.848897222222,747000,E
3031102,CALGARY POPLAR GARDENS,ALTA,51.0333333333333,-114.183333333333,1207200,E
3031322,CARDSTON,ALTA,49.200575,-113.285838888889,1136000,E
3031676,COCHRANE,ALTA,51.1969472222222,-114.434469444444,1332000,E
3033138,HERRONTON EAST,ALTA,50.5997444444444,-113.347786111111,1056000,E
3033890,LETHBRIDGE CDA,ALTA,49.695,-112.7675,910000,E
3033956,LLOYD LAKE,ALTA,50.8666666666667,-114.133333333333,1127800,E
3035202,PINCHER CREEK A,ALTA,49.5166666666667,-114,1189900,E
3036360,TABER,ALTA,49.79195,-112.124466666667,811000,E
303AFGF,COCHRANE VE6CQC,ALTA,51.2380611111111,-114.447794444444,1303000,E
303C642,KEOMA,ALTA,51.2433388888889,-113.639466666667,948000,E
303N1G3,PICTURE BUTTE WEST,ALTA,49.8714138888889,-112.788336111111,901000,E
3040049,ADEN,ALTA,49.05,-111.316666666667,1036300,E
3050519,BANFF CS,ALTA,51.1933583333333,-115.552236111111,1396900,E
3050520,BANFF,ALTA,51.1833333333333,-115.566666666667,1383700,E
30507AC,BLAIRMORE HQTS RS,ALTA,49.6166666666667,-114.433333333333,1310600,E
3051165,CAMERON FALLS,ALTA,49.05,-113.916666666667,1310600,E
3051424,CASTLE MOUNTAIN VILLAGE,ALTA,51.2666666666667,-115.916666666667,1524000,E
3052780,GHOST RS,ALTA,51.3,-114.933333333333,1417000,E
3053520,JASPER,ALTA,52.8833333333333,-118.066666666667,1062200,E
3053536,JASPER WARDEN,ALTA,52.9263888888889,-118.029722222222,1020000,E
3055120,PEKISKO,ALTA,50.3666666666667,-114.416666666667,1439000,E
3056214,WATERTON PARK GATE,ALTA,49.1311333333333,-113.808613888889,1289000,E
3057243,WATERTON RIVER CABIN,ALTA,49.1166666666667,-113.833333333333,1281000,E
3060472,BAIRD LAKE,ALTA,54.35,-114.433333333333,670600,E
3062244,EDSON A,ALTA,53.5833333333333,-116.466666666667,927200,E
3062655,FORT ASSINIBOINE RS,ALTA,54.3666666666667,-114.916666666667,670000,E
3064528,MILDRED LAKE,ALTA,57.0411111111111,-111.558888888889,310000,E
3065505,ROBB RS,ALTA,53.2333333333333,-116.966666666667,1130200,E
3065999,SLAVE LAKE A,ALTA,55.2833333333333,-114.783333333333,582800,E
3066001,SLAVE LAKE A,ALTA,55.3,-114.783333333333,580600,E
3066770,VENICE,ALTA,54.6666666666667,-112.066666666667,576000,E
3067NF0,WILDWOOD NEWBERY,ALTA,53.5666666666667,-115.316666666667,853400,E
306KFE3,FORT ASSINIBOINE,ALTA,54.3666666666667,-114.916666666667,670600,E
3072520,FAIRVIEW,ALTA,56.0666666666667,-118.383333333333,670000,E
3072900,GRANDE CACHE RS,ALTA,53.9,-119.1,1249700,E
3073673,KSITUAN,ALTA,55.9,-119.066666666667,640100,E
3074808,NINA LAKE,ALTA,57.3166666666667,-117.2,453200,E
3076940,WANHAM CDA,ALTA,55.7833333333333,-118.383333333333,560500,E
3077661,WORSLEY-KOZACK,ALTA,56.5333333333333,-119.000277777778,649200,E
307K73D,FOX CREEK JUNCTION,ALTA,54.3950025,-116.819724722222,829000,E
